"Abbrev","Stat Name","Description","Unit","Pctile Dir","Available In"
"C3 ASTD%","Corner 3s Assisted Pct","The percentage of shots made on corner 3s that were assisted.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 AST","Corner 3s Assists","The total number of assists where the shooter scored a corner 3.","Integer","Highest # = 100th","Player Game PBP, Player Agg PBP"
"C3 AST/40","Corner 3s Assists / 40 Mins","The total number of assists per 40 minutes where the shooter scored a corner 3.","Number","Highest # = 100th","Player Game PBP, Player Agg PBP"
"C3 AST/G","Corner 3s Assists / Game","The total number of assists per game where the shooter scored a corner 3.","Number","Highest # = 100th","Player Agg PBP"
"C3 DRB CHNC","Corner 3s Defensive Rebound Chances","The total number of defensive rebounds chances (defensive rebounds grabbed plus opponent offensive rebounds) on opponent's missed corner 3s.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"C3 DRB%","Corner 3s Defensive Rebounding Percentage","Percentage of the opponent's missed corner 3s that were defensive rebounded by the team.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"C3 DRB","Corner 3s Defensive Rebounds","The total number of defensive rebounds grabbed on opponent's missed corner 3s.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"C3 FG%","Corner 3s FG%","Field goal percentage on corner 3-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"C3 FG% (0-10s)","Corner 3s FG% with 0-10 Secs on Shot Clock","Field goal percentage on corner 3s taken with 0 - 10 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 FG% (10-20s)","Corner 3s FG% with 10-20 Secs on Shot Clock","Field goal percentage on corner 3s taken with 10 - 20 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 FG% (20-30s)","Corner 3s FG% with 20-30 Secs on Shot Clock","Field goal percentage on corner 3s taken with 20 - 30 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 FGA","Corner 3s FGA","Field goal attempts on corner 3-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"C3 FGA (0-10s)","Corner 3s FGAs with 0-10 Secs on Shot Clock","The total number of field goal attempts on corner 3s taken with 0 - 10 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 FGA (10-20s)","Corner 3s FGAs with 10-20 Secs on Shot Clock","The total number of field goal attempts on corner 3s taken with 10 - 20 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 FGA (20-30s)","Corner 3s FGAs with 20-30 Secs on Shot Clock","The total number of field goal attempts on corner 3s taken with 20 - 30 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 FGA/100","Corner 3s FGA / 100 Poss","Field goal attempts on corner 3s per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP, Lineup, On/Off"
"C3 FGA/40","Corner 3s FGA / 40 Mins","Field goal attempts on corner 3s per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP, Lineup, On/Off"
"C3 FGA/G","Corner 3s FGA / Game","Field goal attempts on corner 3s per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"C3 FGA%","Corner 3s FGA%","Percentage of shots taken as corner 3-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"C3 FGA% (0-10s) A","Corner 3s FGA% (0-10s) % of all shots","Percentage of all shots taken that were corner 3s with 0 - 10 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 FGA% (0-10s) C","Corner 3s FGA% (0-10s) % of 0-10s shots","Percentage of all shots taken with 0 - 10 seconds remaining on the shot clock that were corner 3s.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 FGA% (0-10s) Z","Corner 3s FGA% (0-10s) % of ATR","Percentage of all corner 3s that were taken with 0 - 10 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 FGA% (10-20s) A","Corner 3s FGA% (10-20s) % of all shots","Percentage of all shots taken that were corner 3s with 10 - 20 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 FGA% (10-20s) C","Corner 3s FGA% (10-20s) % of 10-20s shots","Percentage of all shots taken with 10 - 20 seconds remaining on the shot clock that were corner 3s.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 FGA% (10-20s) Z","Corner 3s FGA% (10-20s) % of ATR","Percentage of all corner 3s that were taken with 10 - 20 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 FGA% (20-30s) A","Corner 3s FGA% (20-30s) % of all shots","Percentage of all shots taken that were corner 3s with 20 - 30 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 FGA% (20-30s) C","Corner 3s FGA% (20-30s) % of 20-30s shots","Percentage of all shots taken with 20 - 30 seconds remaining on the shot clock that were corner 3s.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 FGA% (20-30s) Z","Corner 3s FGA% (20-30s) % of ATR","Percentage of all corner 3s that were taken with 20 - 30 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 FGM","Corner 3s FGM","The total number of field goals made on corner 3s.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"C3 FGM (0-10s)","Corner 3s FGMs with 0-10 Secs on Shot Clock","The total number of field goals made on corner 3s taken with 0 - 10 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 FGM (10-20s)","Corner 3s FGMs with 10-20 Secs on Shot Clock","The total number of field goals made on corner 3s taken with 10 - 20 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 FGM (20-30s)","Corner 3s FGMs with 20-30 Secs on Shot Clock","The total number of field goals made on corner 3s taken with 20 - 30 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"C3 ORB CHNC","Corner 3s Offensive Rebound Chances","The total number of offensive rebounds chances (offensive rebounds grabbed plus opponent defensive rebounds) on the team's missed corner 3s.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"C3 ORB%","Corner 3s Offensive Rebounding Percentage","Percentage of the team's missed corner 3s that were offensive rebounded by the team.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"C3 ORB","Corner 3s Offensive Rebounds","The total number of offensive rebounds grabbed on the team's missed corner 3s.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"C3 REB CHNC","Corner 3s Rebound Chances","The total number of rebounds chances (rebounds grabbed plus opponent rebounds) on the team's and opponent's missed corner 3s.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"C3 REB%","Corner 3s Rebounding Percentage","Percentage of the team's and opponent's missed corner 3s that were rebounded by the team.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"C3 REB","Corner 3s Rebounds","The total number of rebounds grabbed on the team's and opponent's missed corner 3s.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"Curr Team Mins","Current Season Team Minutes","Total minutes the team has played this season, summed across all players on the roster.","Integer","Highest # = 100th","Team Agg"
"DRB%","Defensive Rebound Percentage","An estimate of the percentage of available defensive rebounds a player grabbed while he was on the floor.","Percentage","Highest % = 100th","Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off"
"DPF","Defensive Personal Fouls","The total number of defensive personal fouls committed.","Integer","Lowest # = 100th","Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Team Game PBP"
"Player DRtg","Individual Defensive Player Rating","Individual defensive player rating (iDRtg) is an all-in-one metric developed by Dean Oliver in his 2004 book Basketball on Paper. In Oliver's words, individual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while on the court. iDRtg is computed using box score statistics only, and therefore does not account for who the player is playing with or against. The equation for iDRtg can be found at https://www.basketball-reference.com/about/ratings.html","Number","Lowest # = 100th","Player Agg"
"DPOSS","Defensive Possessions","The total number of defensive possessions played by the player.","Integer","Highest # = 100th","Player Game PBP, Team Game, Team Agg, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP"
"DRAPM","Defensive RAPM","Defensive RAPM (DRAPM) is an all-in-one metric we've developed internally here at CBB Analytics. DRAPM incorporates both a player's individual box score statistics as well as their on-court play-by-play impact, which means DRAPM is able to account for who the player is playing with and against. DRAPM can be interpreted as a player's impact on their team's points allowed per 100 possessions below the division average. DRAPM is similar to the defensive components of all-in-one statistics developed for the NBA such as RPM, EPM, and LEBRON.","Number","Highest # = 100th","Player Agg"
"DRtg","Defensive Rating","Points allowed per 100 possessions by the team.","Number","Lowest # = 100th","Team Game, Team Agg, Lineup, On/Off"
"DRtg**Adj","Adjusted Defensive Rating","The team's defensive rating, taking into account an adjustment based on the average defensive rating allowed by the team's opponents throughout the season.","Number","Lowest # = 100th","Team Agg"
"DRB","Defensive Rebounds","The total number of defensive rebounds.","Integer","Highest # = 100th","Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off"
"DWS","Defensive Win Shares","Defensive Win Shares (DWS) is an all-in-one metric originally developed by Bill James for baseball, and adapted by Justin Kubatko (basketball-reference) for use in basketball. DWS attempts to divvy up credit for team success on defense to the individuals on the team, by estimating the number of defensive possessions a player was involved in over the year and the number of points prevented by the player's defensive efforts, which are then converted into the number of wins the player has contributed to their team. DWS is computed using box score statistics only, and therefore does not account for who the player is playing with or against. The equation for DWS can be found at https://www.sports-reference.com/cbb/about/ws.html","Number","Highest # = 100th","Player Agg"
"DWS/40","Defensive Win Shares / 40 Mins","Defensive Win Shares (DWS) generated per 40 minutes. The equation for DWS can be found at https://www.sports-reference.com/cbb/about/ws.html","num2","Highest # = 100th","Player Agg"
"dFirstChnc","dFirstChnc","No description available","-","-","Team Agg PBP, Team Game PBP"
"Dbl-Dbl","Double-Doubles","Number of games this season where the player hit double figures (10+) in at least two of: points, rebounds, assists, steals, blocks.","Integer","Highest # = 100th","Player Agg"
"dPbkChnc","dPbkChnc","No description available","-","-","Team Agg PBP, Team Game PBP"
"DPF%","Defensive Personal Fouls Percentage","The percentage of possessions with a defensive personal foul committed.","Percentage","Lowest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"DPF/100","Defensive Personal Fouls / 100 Poss","An estimate of the number of defensive personal fouls committed per 100 possessions played.","Number","Lowest # = 100th","Team Agg, Team Agg PBP"
"DPF/40","Defensive Personal Fouls / 40 Mins","The number of defensive personal fouls committed per 40 minutes played.","Number","Lowest # = 100th","Player Agg, Team Agg, Team Agg PBP, Player Agg PBP"
"DPF/G","Defensive Personal Fouls / Game","The number of defensive personal fouls committed per game.","Number","Lowest # = 100th","Player Agg, Team Agg, Team Agg PBP, Player Agg PBP"
"dPossTm","dPossTm","No description available","-","-","Player Agg, Player Game"
"Draft Pick","Draft Overall Pick","The overall pick number of the player in the draft. 1 is the first overall pick, 2 is the second overall pick, etc.","Integer","Lowest # = 100th","Player Agg, Player Agg PBP"
"Round Num","Draft Round Number","The round number of the draft in which the player was selected. R1 is the first round, R2 is the second round, etc.","Integer","Lowest # = 100th","Player Agg, Player Agg PBP"
